id,플랭크,스탠딩 사이드 크런치,힐터치,손끝으로무릎찍기,하프레그레이즈,업다운 플랭크,마운틴 클라이머,사이드크런치,발목찍기,크런치,레그레이즈투힙업,리버스크런치,러시안트위스트,트위스트크런치,사이드플랭크업,포크크런치,업앤다운푸쉬업,플랭크 투 점프 스쿼트,잭나이프 뒤에 제발 크런치를 붙여라,니드라이브푸쉬업
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
7,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
16,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
